	(1)	(2)	(3)	(4)
VARIABLES	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal
				
tax2020	-0.473	0.284	0.0210	0.0210
	(0.797)	(0.500)	(0.466)	(0.466)
sexo	-1.595*	-0.193	-2.240**	-2.240**
	(0.830)	(3.330)	(1.035)	(1.035)
2.edad_gr2	1.738	-2.504	0.400	0.400
	(1.611)	(3.118)	(1.820)	(1.820)
3.edad_gr2	4.178**	-0.236	2.878	2.878
	(1.619)	(4.361)	(1.894)	(1.894)
4.edad_gr2	1.716	3.173	2.068	2.068
	(1.613)	(5.584)	(1.943)	(1.943)
5.edad_gr2	0.358	-2.554	0.341	0.341
	(1.784)	(6.995)	(2.148)	(2.148)
6.edad_gr2	4.893***	-2.409	4.100**	4.100**
	(1.594)	(7.194)	(1.938)	(1.938)
7.edad_gr2	2.883	-5.470	1.865	1.865
	(1.979)	(9.536)	(2.441)	(2.441)
8.edad_gr2	3.275	0.561	5.060	5.060
	(5.355)	(9.526)	(4.910)	(4.910)
2.educ_gr2	3.083	3.577	2.123	2.123
	(5.411)	(6.620)	(7.430)	(7.430)
3.educ_gr2	0.149	2.107	-0.323	-0.323
	(5.323)	(4.606)	(7.328)	(7.328)
4.educ_gr2	2.123	0.704	0.473	0.473
	(5.283)	(4.839)	(7.289)	(7.289)
5.educ_gr2	0.965	0.511	0.489	0.489
	(5.328)	(5.581)	(7.325)	(7.325)
6.educ_gr2	5.599	2.695	4.568	4.568
	(5.300)	(5.982)	(7.300)	(7.300)
7.educ_gr2	9.766*	2.549	7.007	7.007
	(5.611)	(7.699)	(7.616)	(7.616)
9.educ_gr2	-1.835		-3.149	-3.149
	(7.907)		(8.349)	(8.349)
2.gr_ingr	8.411***	2.496	5.094**	5.094**
	(2.515)	(2.434)	(2.044)	(2.044)
3.gr_ingr	-1.046	-0.980	-1.709	-1.709
	(2.290)	(2.367)	(1.954)	(1.954)
4.gr_ingr	-1.531	-0.638	-1.157	-1.157
	(2.205)	(2.501)	(1.938)	(1.938)
5.gr_ingr	1.604	-0.440	0.116	0.116
	(2.138)	(2.450)	(1.887)	(1.887)
6.gr_ingr	2.023	0.0961	0.991	0.991
	(2.160)	(2.635)	(1.960)	(1.960)
7.gr_ingr	0.600	-0.296	-0.233	-0.233
	(2.179)	(2.849)	(2.023)	(2.023)
8.gr_ingr	1.366	4.169	2.275	2.275
	(2.899)	(3.813)	(2.708)	(2.708)
99.gr_ingr	-0.997	4.944	0.0361	0.0361
	(2.584)	(4.462)	(2.650)	(2.650)
singles	-6.493***	-2.221*	-4.323***	-4.323***
	(0.954)	(1.138)	(0.881)	(0.881)
9o.educ_gr2		-		
				
Constant	6.860	10.48	9.305	9.305
	(5.422)	(7.053)	(7.408)	(7.408)
				
Observations	654	654	654	654
R-squared	0.199	0.067		
Number of id_num		380	380	380
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
