	(1)	(2)	(3)
VARIABLES	consumo_semanal	consumo_semanal	consumo_semanal
			
tax2020	-0.713	-0.888	-0.300
	(1.239)	(1.133)	(0.923)
0b.tax2020#0b.sexo	0	0	
	(0)	(0)	
0b.tax2020#1.sexo	-0.800	-0.825	
	(1.599)	(1.596)	
1o.tax2020#0b.sexo	0	0	
	(0)	(0)	
1o.tax2020#1o.sexo	0	0	
	(0)	(0)	
0b.tax2020#0b.singles	0		0
	(0)		(0)
0b.tax2020#1.singles	0.642		0.683
	(1.840)		(1.837)
1o.tax2020#0b.singles	0		0
	(0)		(0)
1o.tax2020#1o.singles	0		0
	(0)		(0)
sexo	-1.187	-1.180	-1.589*
	(1.157)	(1.156)	(0.831)
2.edad_gr2	1.736	1.734	1.740
	(1.613)	(1.612)	(1.612)
3.edad_gr2	4.178**	4.181**	4.174**
	(1.621)	(1.620)	(1.620)
4.edad_gr2	1.720	1.707	1.730
	(1.616)	(1.614)	(1.615)
5.edad_gr2	0.370	0.352	0.377
	(1.787)	(1.785)	(1.786)
6.edad_gr2	4.903***	4.896***	4.901***
	(1.596)	(1.595)	(1.595)
7.edad_gr2	2.896	2.889	2.891
	(1.981)	(1.980)	(1.980)
8.edad_gr2	3.090	3.172	3.184
	(5.371)	(5.362)	(5.364)
2.educ_gr2	3.098	3.079	3.102
	(5.418)	(5.414)	(5.415)
3.educ_gr2	0.183	0.186	0.146
	(5.331)	(5.327)	(5.327)
4.educ_gr2	2.140	2.136	2.127
	(5.290)	(5.286)	(5.287)
5.educ_gr2	0.979	0.978	0.966
	(5.335)	(5.332)	(5.332)
6.educ_gr2	5.632	5.633	5.599
	(5.307)	(5.303)	(5.303)
7.educ_gr2	9.839*	9.826*	9.782*
	(5.619)	(5.615)	(5.615)
9.educ_gr2	-1.854	-1.785	-1.906
	(7.920)	(7.912)	(7.914)
2.gr_ingr	8.342***	8.337***	8.414***
	(2.522)	(2.520)	(2.516)
3.gr_ingr	-1.104	-1.105	-1.047
	(2.295)	(2.294)	(2.291)
4.gr_ingr	-1.563	-1.567	-1.527
	(2.209)	(2.207)	(2.206)
5.gr_ingr	1.553	1.535	1.620
	(2.145)	(2.143)	(2.140)
6.gr_ingr	1.953	1.947	2.027
	(2.168)	(2.166)	(2.161)
7.gr_ingr	0.537	0.540	0.595
	(2.185)	(2.183)	(2.180)
8.gr_ingr	1.307	1.281	1.391
	(2.908)	(2.905)	(2.902)
99.gr_ingr	-1.049	-1.025	-1.024
	(2.589)	(2.586)	(2.587)
singles	-6.811***	-6.496***	-6.829***
	(1.316)	(0.955)	(1.314)
Constant	7.000	7.099	6.762
	(5.456)	(5.445)	(5.433)
			
Observations	654	654	654
R-squared	0.200	0.200	0.200
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
