	(1)	(2)	(3)	(4)
VARIABLES	ppu	ppu	ppu	ppu
				
tax2020	0.346***	0.384***	0.365***	0.384***
	(0.0583)	(0.0533)	(0.0449)	(0.0533)
tax2020_sexo	-0.0645	-0.0913	-0.0744	-0.0913
	(0.0849)	(0.0779)	(0.0657)	(0.0779)
sexo	0.0830	0.000344	0.0880	0.000344
	(0.0604)	(0.297)	(0.0585)	(0.297)
2.edad_gr2	-0.0731	-0.114	-0.0734	-0.114
	(0.0801)	(0.305)	(0.0846)	(0.305)
3.edad_gr2	-0.0650	-0.211	-0.0905	-0.211
	(0.0813)	(0.426)	(0.0872)	(0.426)
4.edad_gr2	0.0118	-0.0913	-0.00268	-0.0913
	(0.0850)	(0.479)	(0.0927)	(0.479)
5.edad_gr2	0.0455	0.694	0.0143	0.694
	(0.0925)	(0.580)	(0.102)	(0.580)
6.edad_gr2	-0.0972	1.435**	-0.0787	1.435**
	(0.0815)	(0.708)	(0.0893)	(0.708)
7.edad_gr2	-0.186**	0.598	-0.199*	0.598
	(0.0946)	(0.817)	(0.105)	(0.817)
8.edad_gr2	-0.775***	1.005	-0.638***	1.005
	(0.211)	(0.964)	(0.230)	(0.964)
2.educ_gr2	-0.151	-0.316	-0.172	-0.316
	(0.252)	(0.449)	(0.277)	(0.449)
3.educ_gr2	-0.0563	-0.234	-0.0735	-0.234
	(0.252)	(0.459)	(0.276)	(0.459)
4.educ_gr2	0.138	-0.144	0.116	-0.144
	(0.247)	(0.458)	(0.271)	(0.458)
5.educ_gr2	0.140	-0.392	0.122	-0.392
	(0.250)	(0.488)	(0.273)	(0.488)
6.educ_gr2	0.309	-0.387	0.278	-0.387
	(0.249)	(0.496)	(0.273)	(0.496)
7.educ_gr2	0.311	-0.434	0.307	-0.434
	(0.270)	(0.621)	(0.297)	(0.621)
9.educ_gr2	0.0759		0.0947	
	(0.369)		(0.372)	
2.gr_ingr	-0.410***	0.329	-0.282**	0.329
	(0.126)	(0.244)	(0.124)	(0.244)
3.gr_ingr	-0.251**	0.133	-0.216*	0.133
	(0.116)	(0.231)	(0.115)	(0.231)
4.gr_ingr	-0.158	0.126	-0.0982	0.126
	(0.112)	(0.239)	(0.112)	(0.239)
5.gr_ingr	-0.122	0.209	-0.0706	0.209
	(0.109)	(0.235)	(0.109)	(0.235)
6.gr_ingr	-0.0536	0.177	-0.0208	0.177
	(0.110)	(0.246)	(0.111)	(0.246)
7.gr_ingr	-0.0263	0.197	0.0202	0.197
	(0.110)	(0.254)	(0.112)	(0.254)
8.gr_ingr	0.250*	0.173	0.244*	0.173
	(0.144)	(0.312)	(0.148)	(0.312)
99.gr_ingr	-0.230*	0.604**	-0.116	0.604**
	(0.134)	(0.298)	(0.138)	(0.298)
2.tipo_cons	2.214***	1.838***	2.147***	1.838***
	(0.113)	(0.209)	(0.111)	(0.209)
3.tipo_cons	0.104**	0.0106	0.0756	0.0106
	(0.0486)	(0.104)	(0.0500)	(0.104)
4.tipo_cons	2.247***	2.170***	2.227***	2.170***
	(0.0660)	(0.162)	(0.0686)	(0.162)
9o.educ_gr2		-		-
				
Constant	3.072***	2.887***	3.053***	2.821***
	(0.264)	(0.630)	(0.286)	(0.664)
				
Observations	2,741	2,741	2,741	1,494
R-squared	0.393	0.377		0.377
Number of id_num		1,994	1,994	747
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
