	(1)	(2)	(3)	(4)
VARIABLES	ppu	ppu	ppu	ppu
				
tax2020	0.344***	0.352***	0.360***	0.360***
	(0.0626)	(0.0726)	(0.0524)	(0.0524)
sexo	0.122*	0.532	0.109	0.109
	(0.0634)	(0.484)	(0.0672)	(0.0672)
2.edad_gr2	-0.0438	-0.315	-0.0301	-0.0301
	(0.102)	(0.453)	(0.104)	(0.104)
3.edad_gr2	-0.00852	-0.449	-0.0291	-0.0291
	(0.107)	(0.634)	(0.110)	(0.110)
4.edad_gr2	0.0475	0.219	0.0668	0.0668
	(0.115)	(0.811)	(0.121)	(0.121)
5.edad_gr2	0.131	1.210	0.100	0.100
	(0.133)	(1.016)	(0.140)	(0.140)
6.edad_gr2	0.0470	1.840*	0.0875	0.0875
	(0.112)	(1.045)	(0.118)	(0.118)
7.edad_gr2	0.122	0.206	0.0807	0.0807
	(0.148)	(1.386)	(0.157)	(0.157)
8.edad_gr2	-0.758*	1.173	-0.535	-0.535
	(0.422)	(1.384)	(0.418)	(0.418)
2.educ_gr2	-0.154	-0.718	-0.259	-0.259
	(0.387)	(0.962)	(0.413)	(0.413)
3.educ_gr2	-0.0605	-0.474	-0.141	-0.141
	(0.383)	(0.669)	(0.410)	(0.410)
4.educ_gr2	0.0530	-0.732	-0.0378	-0.0378
	(0.376)	(0.703)	(0.402)	(0.402)
5.educ_gr2	0.117	-0.811	0.0408	0.0408
	(0.378)	(0.811)	(0.404)	(0.404)
6.educ_gr2	0.310	-0.776	0.209	0.209
	(0.379)	(0.869)	(0.405)	(0.405)
7.educ_gr2	0.230	-0.313	0.230	0.230
	(0.413)	(1.119)	(0.442)	(0.442)
9.educ_gr2	0.0203		0.0308	0.0308
	(0.556)		(0.554)	(0.554)
2.gr_ingr	-0.428**	0.419	-0.312*	-0.312*
	(0.170)	(0.354)	(0.164)	(0.164)
3.gr_ingr	-0.279*	0.384	-0.189	-0.189
	(0.155)	(0.344)	(0.152)	(0.152)
4.gr_ingr	-0.0610	0.172	-0.00713	-0.00713
	(0.149)	(0.363)	(0.147)	(0.147)
5.gr_ingr	-0.182	0.0994	-0.136	-0.136
	(0.148)	(0.356)	(0.145)	(0.145)
6.gr_ingr	-0.0484	0.349	0.0161	0.0161
	(0.148)	(0.383)	(0.147)	(0.147)
7.gr_ingr	-0.113	0.168	-0.0451	-0.0451
	(0.149)	(0.414)	(0.149)	(0.149)
8.gr_ingr	0.167	-0.464	0.141	0.141
	(0.212)	(0.554)	(0.212)	(0.212)
99.gr_ingr	-0.263	2.415***	-0.122	-0.122
	(0.184)	(0.648)	(0.187)	(0.187)
singles	2.161***	2.073***	2.158***	2.158***
	(0.0708)	(0.165)	(0.0705)	(0.0705)
9o.educ_gr2		-		
				
Constant	3.117***	3.027***	3.128***	3.128***
	(0.389)	(0.960)	(0.414)	(0.414)
				
Observations	1,400	1,400	1,400	1,400
R-squared	0.421	0.525		
Number of id_num		1,126	1,126	1,126
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
