	(1)	(2)	(3)	(4)
VARIABLES	ppu	ppu	ppu	ppu
				
tax2020	0.291***	0.293***	0.294***	0.294***
	(0.0575)	(0.0538)	(0.0448)	(0.0448)
sexo	-0.00825	-0.783*	-0.0107	-0.0107
	(0.0594)	(0.415)	(0.0669)	(0.0669)
2.edad_gr2	-0.221	-0.164	-0.267*	-0.267*
	(0.140)	(0.504)	(0.149)	(0.149)
3.edad_gr2	-0.282**	0.936	-0.288*	-0.288*
	(0.136)	(0.762)	(0.147)	(0.147)
4.edad_gr2	-0.159	0.716	-0.218	-0.218
	(0.138)	(0.768)	(0.150)	(0.150)
5.edad_gr2	-0.168	2.280**	-0.203	-0.203
	(0.143)	(0.977)	(0.157)	(0.157)
6.edad_gr2	-0.367***	2.752*	-0.395***	-0.395***
	(0.132)	(1.433)	(0.145)	(0.145)
7.edad_gr2	-0.515***	2.233	-0.531***	-0.531***
	(0.141)	(1.525)	(0.156)	(0.156)
8.edad_gr2	-0.942***	2.226	-0.875***	-0.875***
	(0.249)	(1.816)	(0.282)	(0.282)
2.educ_gr2	-0.200	0.0951	-0.151	-0.151
	(0.329)	(0.598)	(0.363)	(0.363)
3.educ_gr2	-0.103	0.346	-0.0493	-0.0493
	(0.329)	(0.702)	(0.362)	(0.362)
4.educ_gr2	0.166	0.396	0.227	0.227
	(0.325)	(0.687)	(0.358)	(0.358)
5.educ_gr2	0.116	-0.0999	0.136	0.136
	(0.329)	(0.708)	(0.362)	(0.362)
6.educ_gr2	0.239	0.0978	0.277	0.277
	(0.327)	(0.712)	(0.360)	(0.360)
7.educ_gr2	0.286	-0.274	0.258	0.258
	(0.354)	(0.883)	(0.391)	(0.391)
9.educ_gr2	0.0441		0.0703	0.0703
	(0.489)		(0.496)	(0.496)
2.gr_ingr	-0.358*	0.0446	-0.313	-0.313
	(0.195)	(0.419)	(0.197)	(0.197)
3.gr_ingr	-0.201	-0.125	-0.247	-0.247
	(0.178)	(0.390)	(0.181)	(0.181)
4.gr_ingr	-0.231	-0.0819	-0.185	-0.185
	(0.174)	(0.394)	(0.179)	(0.179)
5.gr_ingr	-0.0363	0.0281	-0.0259	-0.0259
	(0.168)	(0.390)	(0.173)	(0.173)
6.gr_ingr	-0.0186	-0.174	-0.0397	-0.0397
	(0.170)	(0.400)	(0.176)	(0.176)
7.gr_ingr	0.0839	-0.0498	0.0721	0.0721
	(0.169)	(0.402)	(0.176)	(0.176)
8.gr_ingr	0.372*	0.316	0.372*	0.372*
	(0.205)	(0.467)	(0.214)	(0.214)
99.gr_ingr	-0.148	0.181	-0.111	-0.111
	(0.202)	(0.444)	(0.208)	(0.208)
singles	2.176***	1.837***	2.134***	2.134***
	(0.108)	(0.248)	(0.110)	(0.110)
9o.educ_gr2		-		
				
Constant	3.315***	1.877*	3.302***	3.302***
	(0.356)	(1.104)	(0.386)	(0.386)
				
Observations	1,341	1,341	1,341	1,341
R-squared	0.291	0.259		
Number of id_num		974	974	974
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
