	(1)	(2)	(3)
VARIABLES	ppu	ppu	ppu
			
tax2020	0.306***	0.302***	0.307***
	(0.0472)	(0.0425)	(0.0361)
sexo	0.0509	-0.00509	0.0510
	(0.0433)	(0.293)	(0.0486)
2.edad_gr2	-0.0732	-0.116	-0.0700
	(0.0802)	(0.304)	(0.0847)
3.edad_gr2	-0.0675	-0.210	-0.0896
	(0.0812)	(0.425)	(0.0871)
4.edad_gr2	0.0111	-0.0924	-0.00325
	(0.0850)	(0.477)	(0.0927)
5.edad_gr2	0.0451	0.670	0.0126
	(0.0925)	(0.578)	(0.102)
6.edad_gr2	-0.0992	1.531**	-0.0787
	(0.0815)	(0.703)	(0.0892)
7.edad_gr2	-0.189**	0.787	-0.198*
	(0.0946)	(0.812)	(0.105)
8.edad_gr2	-0.771***	1.230	-0.632***
	(0.211)	(0.961)	(0.230)
2.educ_gr2	-0.154	-0.410	-0.179
	(0.252)	(0.448)	(0.277)
3.educ_gr2	-0.0564	-0.343	-0.0772
	(0.252)	(0.460)	(0.276)
4.educ_gr2	0.136	-0.260	0.113
	(0.247)	(0.458)	(0.271)
5.educ_gr2	0.137	-0.485	0.119
	(0.250)	(0.487)	(0.273)
6.educ_gr2	0.306	-0.491	0.274
	(0.249)	(0.496)	(0.273)
7.educ_gr2	0.309	-0.550	0.301
	(0.270)	(0.621)	(0.297)
9.educ_gr2	0.0791		0.107
	(0.369)		(0.371)
2.gr_ingr	-0.416***	0.299	-0.292**
	(0.126)	(0.243)	(0.124)
3.gr_ingr	-0.256**	0.119	-0.225**
	(0.116)	(0.229)	(0.115)
4.gr_ingr	-0.162	0.103	-0.104
	(0.112)	(0.238)	(0.112)
5.gr_ingr	-0.127	0.187	-0.0790
	(0.109)	(0.233)	(0.109)
6.gr_ingr	-0.0574	0.161	-0.0284
	(0.110)	(0.244)	(0.111)
7.gr_ingr	-0.0302	0.188	0.0148
	(0.110)	(0.253)	(0.112)
8.gr_ingr	0.247*	0.160	0.240
	(0.144)	(0.310)	(0.148)
99.gr_ingr	-0.232*	0.582*	-0.119
	(0.134)	(0.298)	(0.138)
patron	-0.0932**	-0.0263	-0.0737
	(0.0453)	(0.102)	(0.0470)
singles	2.185***	2.206***	2.219***
	(0.0789)	(0.133)	(0.0737)
0b.tax2020#0b.singles	0	0	0
	(0)	(0)	(0)
0b.tax2020#1.singles	-0.0492	-0.282**	-0.136
	(0.108)	(0.125)	(0.0915)
1o.tax2020#0b.singles	0	0	0
	(0)	(0)	(0)
1o.tax2020#1o.singles	0	0	0
	(0)	(0)	(0)
9o.educ_gr2		-	
			
Constant	3.197***	3.014***	3.166***
	(0.262)	(0.625)	(0.284)
			
Observations	2,741	2,741	2,741
R-squared	0.393	0.379	
Number of id_num		1,994	1,994
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
