	(1)	(2)	(3)
VARIABLES	ppu	ppu	ppu
			
tax2020	0.380**	-0.0597	0.298*
	(0.189)	(0.288)	(0.174)
sexo	0.0507	-0.0186	0.0508
	(0.0433)	(0.294)	(0.0486)
2.edad_gr2	-0.0734	-0.127	-0.0709
	(0.0803)	(0.305)	(0.0848)
3.edad_gr2	-0.0672	-0.224	-0.0905
	(0.0814)	(0.426)	(0.0874)
4.edad_gr2	0.0109	-0.128	-0.00265
	(0.0852)	(0.478)	(0.0929)
5.edad_gr2	0.0452	0.625	0.0132
	(0.0926)	(0.580)	(0.102)
6.edad_gr2	-0.0984	1.444**	-0.0790
	(0.0817)	(0.708)	(0.0894)
7.edad_gr2	-0.186**	0.699	-0.196*
	(0.0948)	(0.818)	(0.105)
8.edad_gr2	-0.775***	1.144	-0.635***
	(0.211)	(0.968)	(0.231)
2.educ_gr2	-0.152	-0.409	-0.177
	(0.252)	(0.449)	(0.277)
3.educ_gr2	-0.0562	-0.331	-0.0752
	(0.252)	(0.461)	(0.276)
4.educ_gr2	0.138	-0.252	0.115
	(0.247)	(0.459)	(0.271)
5.educ_gr2	0.140	-0.484	0.121
	(0.250)	(0.488)	(0.274)
6.educ_gr2	0.309	-0.490	0.276
	(0.249)	(0.497)	(0.273)
7.educ_gr2	0.310	-0.560	0.302
	(0.270)	(0.622)	(0.297)
9.educ_gr2	0.0795		0.105
	(0.369)		(0.372)
2.gr_ingr	-0.415***	0.287	-0.292**
	(0.126)	(0.243)	(0.124)
3.gr_ingr	-0.255**	0.101	-0.226**
	(0.116)	(0.230)	(0.115)
4.gr_ingr	-0.160	0.0962	-0.104
	(0.112)	(0.238)	(0.112)
5.gr_ingr	-0.124	0.169	-0.0783
	(0.109)	(0.234)	(0.109)
6.gr_ingr	-0.0563	0.141	-0.0286
	(0.110)	(0.245)	(0.111)
7.gr_ingr	-0.0270	0.176	0.0158
	(0.110)	(0.253)	(0.112)
8.gr_ingr	0.248*	0.162	0.240
	(0.144)	(0.311)	(0.148)
99.gr_ingr	-0.232*	0.580*	-0.121
	(0.134)	(0.299)	(0.138)
patron	-0.0329	-0.369	-0.0886
	(0.178)	(0.289)	(0.165)
singles	2.156***	2.294***	2.206***
	(0.0914)	(0.157)	(0.0856)
0b.tax2020#1b.tipo_cons	0	0	0
	(0)	(0)	(0)
0b.tax2020#2.tipo_cons	0.0257	-0.528*	-0.116
	(0.175)	(0.278)	(0.162)
0b.tax2020#3.tipo_cons	0.0467	-0.372	-0.0375
	(0.189)	(0.287)	(0.173)
0b.tax2020#4.tipo_cons	0.0201	-0.663*	-0.151
	(0.243)	(0.341)	(0.218)
1.tax2020#1b.tipo_cons	-0.0950	0.358	-0.0104
	(0.189)	(0.291)	(0.175)
1o.tax2020#2o.tipo_cons	0	0	0
	(0)	(0)	(0)
1o.tax2020#3o.tipo_cons	0	0	0
	(0)	(0)	(0)
1o.tax2020#4o.tipo_cons	0	0	0
	(0)	(0)	(0)
9o.educ_gr2		-	
			
Constant	3.138***	3.421***	3.187***
	(0.315)	(0.698)	(0.327)
			
Observations	2,741	2,741	2,741
R-squared	0.393	0.380	
Number of id_num		1,994	1,994
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
