	(1)	(2)	(3)	(4)
VARIABLES	log_cons_sem	log_cons_sem	log_cons_sem	log_cons_sem
				
tax2020	-0.0431	0.00135	-0.0299	0.00135
	(0.0423)	(0.0291)	(0.0272)	(0.0291)
tax2020_sexo	-0.0288	0.000732	0.000140	0.000732
	(0.0616)	(0.0425)	(0.0397)	(0.0425)
sexo	-0.182***	-0.0209	-0.210***	-0.0209
	(0.0438)	(0.162)	(0.0416)	(0.162)
2.edad_gr2	0.0679	-0.199	0.0433	-0.199
	(0.0582)	(0.166)	(0.0619)	(0.166)
3.edad_gr2	0.112*	0.0173	0.147**	0.0173
	(0.0590)	(0.232)	(0.0643)	(0.232)
4.edad_gr2	0.128**	0.122	0.189***	0.122
	(0.0617)	(0.261)	(0.0686)	(0.261)
5.edad_gr2	0.140**	-0.0301	0.216***	-0.0301
	(0.0672)	(0.316)	(0.0757)	(0.316)
6.edad_gr2	0.223***	-0.108	0.285***	-0.108
	(0.0592)	(0.386)	(0.0665)	(0.386)
7.edad_gr2	0.296***	-0.306	0.380***	-0.306
	(0.0687)	(0.446)	(0.0782)	(0.446)
8.edad_gr2	0.484***	-0.240	0.487***	-0.240
	(0.153)	(0.526)	(0.168)	(0.526)
2.educ_gr2	-0.129	-0.103	-0.133	-0.103
	(0.183)	(0.245)	(0.209)	(0.245)
3.educ_gr2	-0.218	-0.0416	-0.217	-0.0416
	(0.183)	(0.250)	(0.208)	(0.250)
4.educ_gr2	-0.207	-0.0787	-0.198	-0.0787
	(0.180)	(0.250)	(0.205)	(0.250)
5.educ_gr2	-0.199	-0.0473	-0.177	-0.0473
	(0.181)	(0.266)	(0.206)	(0.266)
6.educ_gr2	-0.124	0.0333	-0.100	0.0333
	(0.181)	(0.271)	(0.206)	(0.271)
7.educ_gr2	-0.123	-0.161	-0.115	-0.161
	(0.196)	(0.339)	(0.223)	(0.339)
9.educ_gr2	0.00177		-0.0405	
	(0.268)		(0.265)	
2.gr_ingr	0.220**	0.242*	0.208**	0.242*
	(0.0918)	(0.133)	(0.0852)	(0.133)
3.gr_ingr	0.104	0.403***	0.210***	0.403***
	(0.0840)	(0.126)	(0.0792)	(0.126)
4.gr_ingr	0.152*	0.469***	0.250***	0.469***
	(0.0812)	(0.130)	(0.0779)	(0.130)
5.gr_ingr	0.200**	0.467***	0.266***	0.467***
	(0.0792)	(0.128)	(0.0759)	(0.128)
6.gr_ingr	0.214***	0.500***	0.291***	0.500***
	(0.0798)	(0.134)	(0.0776)	(0.134)
7.gr_ingr	0.185**	0.507***	0.275***	0.507***
	(0.0800)	(0.139)	(0.0786)	(0.139)
8.gr_ingr	0.475***	0.607***	0.468***	0.607***
	(0.105)	(0.170)	(0.103)	(0.170)
99.gr_ingr	-0.0247	0.569***	0.148	0.569***
	(0.0974)	(0.163)	(0.0967)	(0.163)
2.tipo_cons	-0.396***	0.000220	-0.243***	0.000220
	(0.0819)	(0.114)	(0.0761)	(0.114)
3.tipo_cons	-1.658***	-0.753***	-1.411***	-0.753***
	(0.0353)	(0.0565)	(0.0348)	(0.0565)
4.tipo_cons	-2.301***	-1.006***	-1.992***	-1.006***
	(0.0479)	(0.0886)	(0.0487)	(0.0886)
9o.educ_gr2		-		-
				
Constant	3.749***	2.916***	3.476***	3.021***
	(0.191)	(0.343)	(0.215)	(0.362)
				
Observations	2,741	2,741	2,741	1,494
R-squared	0.608	0.251		0.251
Number of id_num		1,994	1,994	747
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
