	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal	consumo_semanal
														
tax2020	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.296	-0.0172	-0.292	-1.555	0.156
	(0.772)	(0.772)	(0.772)	(0.772)	(0.772)	(0.772)	(0.772)	(0.772)	(0.772)	(0.772)	(1.212)	(0.845)	(5.747)	(1.059)
sexo	4.945	4.945	4.945	4.945	4.945	4.945	4.945	4.945	4.945	4.945	4.997	4.943	4.959	4.476
	(5.836)	(5.836)	(5.836)	(5.836)	(5.836)	(5.836)	(5.836)	(5.836)	(5.836)	(5.836)	(5.843)	(5.843)	(5.869)	(5.887)
2.edad_gr2	-4.050	-4.050	-4.050	-4.050	-4.050	-4.050	-4.050	-4.050	-4.050	-4.050	-4.134	-4.051	-4.172	-3.916
	(6.044)	(6.044)	(6.044)	(6.044)	(6.044)	(6.044)	(6.044)	(6.044)	(6.044)	(6.044)	(6.054)	(6.048)	(6.069)	(6.050)
3.edad_gr2	7.799	7.799	7.799	7.799	7.799	7.799	7.799	7.799	7.799	7.799	7.714	7.801	7.693	7.774
	(8.458)	(8.458)	(8.458)	(8.458)	(8.458)	(8.458)	(8.458)	(8.458)	(8.458)	(8.458)	(8.468)	(8.464)	(8.487)	(8.461)
4.edad_gr2	14.47	14.47	14.47	14.47	14.47	14.47	14.47	14.47	14.47	14.47	14.41	14.48	14.33	14.68
	(9.484)	(9.484)	(9.484)	(9.484)	(9.484)	(9.484)	(9.484)	(9.484)	(9.484)	(9.484)	(9.492)	(9.492)	(9.526)	(9.494)
5.edad_gr2	11.60	11.60	11.60	11.60	11.60	11.60	11.60	11.60	11.60	11.60	11.46	11.60	11.38	11.77
	(11.50)	(11.50)	(11.50)	(11.50)	(11.50)	(11.50)	(11.50)	(11.50)	(11.50)	(11.50)	(11.52)	(11.52)	(11.56)	(11.51)
6.edad_gr2	11.65	11.65	11.65	11.65	11.65	11.65	11.65	11.65	11.65	11.65	11.45	11.65	11.29	11.50
	(13.99)	(13.99)	(13.99)	(13.99)	(13.99)	(13.99)	(13.99)	(13.99)	(13.99)	(13.99)	(14.01)	(14.00)	(14.12)	(13.99)
7.edad_gr2	10.47	10.47	10.47	10.47	10.47	10.47	10.47	10.47	10.47	10.47	10.42	10.46	10.19	10.25
	(16.15)	(16.15)	(16.15)	(16.15)	(16.15)	(16.15)	(16.15)	(16.15)	(16.15)	(16.15)	(16.16)	(16.17)	(16.30)	(16.16)
8.edad_gr2	13.76	13.76	13.76	13.76	13.76	13.76	13.76	13.76	13.76	13.76	13.60	13.75	13.35	13.72
	(19.08)	(19.08)	(19.08)	(19.08)	(19.08)	(19.08)	(19.08)	(19.08)	(19.08)	(19.08)	(19.10)	(19.13)	(19.30)	(19.09)
2.educ_gr2	0.813	0.813	0.813	0.813	0.813	0.813	0.813	0.813	0.813	0.813	0.887	0.822	0.992	1.170
	(8.887)	(8.887)	(8.887)	(8.887)	(8.887)	(8.887)	(8.887)	(8.887)	(8.887)	(8.887)	(8.896)	(8.918)	(8.957)	(8.909)
3.educ_gr2	-9.444	-9.444	-9.444	-9.444	-9.444	-9.444	-9.444	-9.444	-9.444	-9.444	-9.392	-9.432	-9.236	-9.295
	(9.108)	(9.108)	(9.108)	(9.108)	(9.108)	(9.108)	(9.108)	(9.108)	(9.108)	(9.108)	(9.116)	(9.157)	(9.194)	(9.115)
4.educ_gr2	-3.569	-3.569	-3.569	-3.569	-3.569	-3.569	-3.569	-3.569	-3.569	-3.569	-3.512	-3.557	-3.364	-3.272
	(9.071)	(9.071)	(9.071)	(9.071)	(9.071)	(9.071)	(9.071)	(9.071)	(9.071)	(9.071)	(9.079)	(9.118)	(9.158)	(9.087)
5.educ_gr2	-5.691	-5.691	-5.691	-5.691	-5.691	-5.691	-5.691	-5.691	-5.691	-5.691	-5.660	-5.682	-5.571	-5.395
	(9.669)	(9.669)	(9.669)	(9.669)	(9.669)	(9.669)	(9.669)	(9.669)	(9.669)	(9.669)	(9.675)	(9.697)	(9.724)	(9.684)
6.educ_gr2	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.567	-3.566	-3.555	-3.452	-3.349
	(9.841)	(9.841)	(9.841)	(9.841)	(9.841)	(9.841)	(9.841)	(9.841)	(9.841)	(9.841)	(9.847)	(9.882)	(9.908)	(9.851)
7.educ_gr2	-9.531	-9.531	-9.531	-9.531	-9.531	-9.531	-9.531	-9.531	-9.531	-9.531	-9.646	-9.519	-9.550	-9.251
	(12.33)	(12.33)	(12.33)	(12.33)	(12.33)	(12.33)	(12.33)	(12.33)	(12.33)	(12.33)	(12.34)	(12.37)	(12.40)	(12.34)
9o.educ_gr2	-	-	-	-	-	-	-	-	-	-	-	-	-	-
														
2.gr_ingr	-3.658	-3.658	-3.658	-3.658	-3.658	-3.658	-3.658	-3.658	-3.658	-3.658	-3.673	-3.655	-3.681	-3.471
	(4.825)	(4.825)	(4.825)	(4.825)	(4.825)	(4.825)	(4.825)	(4.825)	(4.825)	(4.825)	(4.829)	(4.833)	(4.847)	(4.837)
3.gr_ingr	5.099	5.099	5.099	5.099	5.099	5.099	5.099	5.099	5.099	5.099	5.043	5.100	4.995	5.289
	(4.565)	(4.565)	(4.565)	(4.565)	(4.565)	(4.565)	(4.565)	(4.565)	(4.565)	(4.565)	(4.572)	(4.569)	(4.589)	(4.577)
4.gr_ingr	10.45**	10.45**	10.45**	10.45**	10.45**	10.45**	10.45**	10.45**	10.45**	10.45**	10.38**	10.45**	10.37**	10.60**
	(4.732)	(4.732)	(4.732)	(4.732)	(4.732)	(4.732)	(4.732)	(4.732)	(4.732)	(4.732)	(4.740)	(4.737)	(4.751)	(4.741)
5.gr_ingr	9.501**	9.501**	9.501**	9.501**	9.501**	9.501**	9.501**	9.501**	9.501**	9.501**	9.438**	9.503**	9.384**	9.713**
	(4.642)	(4.642)	(4.642)	(4.642)	(4.642)	(4.642)	(4.642)	(4.642)	(4.642)	(4.642)	(4.650)	(4.647)	(4.673)	(4.657)
6.gr_ingr	13.02***	13.02***	13.02***	13.02***	13.02***	13.02***	13.02***	13.02***	13.02***	13.02***	12.96***	13.02***	12.89***	13.30***
	(4.863)	(4.863)	(4.863)	(4.863)	(4.863)	(4.863)	(4.863)	(4.863)	(4.863)	(4.863)	(4.871)	(4.867)	(4.893)	(4.886)
7.gr_ingr	12.19**	12.19**	12.19**	12.19**	12.19**	12.19**	12.19**	12.19**	12.19**	12.19**	12.14**	12.19**	12.10**	12.41**
	(5.031)	(5.031)	(5.031)	(5.031)	(5.031)	(5.031)	(5.031)	(5.031)	(5.031)	(5.031)	(5.038)	(5.035)	(5.051)	(5.046)
8.gr_ingr	17.22***	17.22***	17.22***	17.22***	17.22***	17.22***	17.22***	17.22***	17.22***	17.22***	17.19***	17.21***	17.17***	17.46***
	(6.175)	(6.175)	(6.175)	(6.175)	(6.175)	(6.175)	(6.175)	(6.175)	(6.175)	(6.175)	(6.179)	(6.181)	(6.198)	(6.190)
99.gr_ingr	10.72*	10.72*	10.72*	10.72*	10.72*	10.72*	10.72*	10.72*	10.72*	10.72*	10.61*	10.72*	10.59*	10.82*
	(5.920)	(5.920)	(5.920)	(5.920)	(5.920)	(5.920)	(5.920)	(5.920)	(5.920)	(5.920)	(5.936)	(5.924)	(5.957)	(5.925)
patron	16.23***	16.23***	16.23***	16.23***	16.23***	16.23***	16.23***	16.23***	16.23***	16.23***	15.98***	16.23***	14.94***	16.19***
	(2.022)	(2.022)	(2.022)	(2.022)	(2.022)	(2.022)	(2.022)	(2.022)	(2.022)	(2.022)	(2.194)	(2.024)	(5.756)	(2.024)
singles	-1.759	-1.759	-1.759	-1.759	-1.759	-1.759	-1.759	-1.759	-1.759	-1.759	-1.775	-1.776	-1.652	-1.732
	(2.351)	(2.351)	(2.351)	(2.351)	(2.351)	(2.351)	(2.351)	(2.351)	(2.351)	(2.351)	(2.354)	(2.657)	(3.124)	(2.353)
o.patron	-			-			-							
														
o.tipo_cons		-			-				-					
														
o.sexo			-			-				-				
														
o.singles								-						
														
0b.tax2020#0b.patron											0			
											(0)			
0b.tax2020#1.patron											0.495			
											(1.656)			
1o.tax2020#0b.patron											0			
											(0)			
1o.tax2020#1o.patron											0			
											(0)			
0b.tax2020#0b.singles												0		
												(0)		
0b.tax2020#1.singles												0.0342		
												(2.486)		
1o.tax2020#0b.singles												0		
												(0)		
1o.tax2020#1o.singles												0		
												(0)		
0b.tax2020#1b.tipo_cons													0	
													(0)	
0b.tax2020#2.tipo_cons													-0.203	
													(5.547)	
0b.tax2020#3.tipo_cons													-1.578	
													(5.716)	
0b.tax2020#4.tipo_cons													-1.414	
													(6.802)	
1.tax2020#1b.tipo_cons													1.085	
													(5.792)	
1o.tax2020#2o.tipo_cons													0	
													(0)	
1o.tax2020#3o.tipo_cons													0	
													(0)	
1o.tax2020#4o.tipo_cons													0	
													(0)	
0b.tax2020#0b.sexo														0
														(0)
0b.tax2020#1.sexo														0.964
														(1.547)
1o.tax2020#0b.sexo														0
														(0)
1o.tax2020#1o.sexo														0
														(0)
Constant	12.28	12.28	12.28	12.28	12.28	12.28	12.28	12.28	12.28	12.28	12.26	12.27	13.82	11.61
	(13.10)	(13.10)	(13.10)	(13.10)	(13.10)	(13.10)	(13.10)	(13.10)	(13.10)	(13.10)	(13.11)	(13.14)	(14.59)	(13.15)
														
Observations	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494	1,494
R-squared	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.123	0.124	0.124
Number of id_num	747	747	747	747	747	747	747	747	747	747	747	747	747	747
Standard errors in parentheses														
*** p<0.01, ** p<0.05, * p<0.1														
